ordernumber,orderdate,year,month,day,customername,customer_type,warehousecode,product_code,orderquantity,unitprice,revenue,costs,profit,client_group,product_type,is_holiday,week_num,year_month,year_week
SO - 000101,2015-08-26,2015,8,26,New Ltd,Distributor,NXH382,STK-112,5,643.5,3217.5,1430,1787.5,beta,AX,0,35,2015-08,2015-35
SO - 000102,2016-01-13,2016,1,13,Winthrop ,Wholesale,GUT930,STK-121,5,346.48,1732.4,1220,512.3999999999999,beta,CY,0,2,2016-01,2016-02
SO - 000103,2015-09-19,2015,9,19,Apollo Ltd,Export,GUT930,STK-112,10,643.5,6435.0,2860,3575.0,gamma,AX,0,38,2015-09,2015-38
SO - 000104,2015-12-10,2015,12,10,Eminence Corp,Export,AXW291,STK-150,6,217.14,1302.84,846,456.84000000000015,alpha,CX,0,50,2015-12,2015-50
SO - 000105,2015-02-19,2015,2,19,E. Ltd,Wholesale,AXW291,STK-158,6,143.1,858.5999999999999,540,318.5999999999999,beta,CX,0,8,2015-02,2015-08
SO - 000106,2015-12-27,2015,12,27,Weimei Corp,Wholesale,NXH382,STK-145,6,305.02,1830.12,1212,618.1199999999999,beta,CZ,0,52,2015-12,2015-52
SO - 000107,2015-01-19,2015,1,19,Victory Ltd,Distributor,AXW291,STK-133,10,271.56,2715.6,1860,855.5999999999999,beta,CY,0,4,2015-01,2015-04
SO - 000108,2016-04-04,2016,4,4,O.E. Ltd,Distributor,NXH382,STK-110,10,538.48,5384.8,2540,2844.8,beta,BX,0,14,2016-04,2016-14
SO - 000109,2015-02-19,2015,2,19,O.E. Ltd,Wholesale,NXH382,STK-160,7,240.64,1684.48,896,788.48,beta,CZ,0,8,2015-02,2015-08
SO - 000110,2016-06-22,2016,6,22,U.S. Ltd,Wholesale,NXH382,STK-165,6,145.6,873.5999999999999,546,327.5999999999999,beta,CY,0,25,2016-06,2016-25
SO - 000111,2015-06-27,2015,6,27,Weimei Corp,Export,AXW291,STK-142,12,88.74,1064.88,696,368.8799999999999,beta,CX,0,26,2015-06,2015-26
